species_name,class,max_obs_length_cm
Goniobranchus splendidus,Gastropoda,7.5
Grahamina gymnota,Actinopterygii,7.5
Halichoeres hartzfeldii,Actinopterygii,7.5
Halichoeres nigrescens,Actinopterygii,7.5
Heterocentrotus mamillatus,Echinoidea,7.5
Heteroclinus roseus,Actinopterygii,7.5
Holopneustes inflatus,Echinoidea,7.5
Holopneustes purpurascens,Echinoidea,7.5
Hydatina physis,Gastropoda,7.5
Hypselodoris obscura,Gastropoda,7.5
Istigobius decoratus,Actinopterygii,7.5
Labroides bicolor,Actinopterygii,7.5
Lactoria fornasini,Actinopterygii,7.5
Latirus polygonus,Gastropoda,7.5
Macropharyngodon negrosensis,Actinopterygii,7.5
Mancinella alouina,Gastropoda,7.5
Maroubra perserrata,Actinopterygii,7.5
Meiacanthus atrodorsalis,Actinopterygii,7.5
Meiacanthus phaeus,Actinopterygii,7.5
Mitra glabra,Gastropoda,7.5
Nardoa novaecaledoniae,Asteroidea,7.5
Ostorhinchus compressus,Actinopterygii,7.5
Oxymonacanthus longirostris,Actinopterygii,7.5
Pagurus sinuatus,Malacostraca,7.5
Palaemon serenus,Malacostraca,7.5
Parablennius tasmanianus,Actinopterygii,7.5
Paraluteres prionurus,Actinopterygii,7.5
Pervagor janthinosoma,Actinopterygii,7.5
Petroscirtes fallax,Actinopterygii,7.5
Phenacovolva rosea,Gastropoda,7.5
Philinopsis speciosa,Gastropoda,7.5
Phyllacanthus imperialis,Echinoidea,7.5
Phyllidia ocellata,Gastropoda,7.5
Plagusia chabrus,Malacostraca,7.5
Plectroglyphidodon leucozonus,Actinopterygii,7.5
Pleurobranchus peroni,Gastropoda,7.5
Plocamopherus tilesii,Gastropoda,7.5
Pomacentrus adelus,Actinopterygii,7.5
Pomacentrus lepidogenys,Actinopterygii,7.5
Premnas biaculeatus,Actinopterygii,7.5
Prionocidaris callista,Echinoidea,7.5
Pristiapogon kallopterus,Actinopterygii,7.5
Pseudonepanthia nigrobrunnea,Asteroidea,7.5
Ptereleotris heteroptera,Actinopterygii,7.5
Ptereleotris microlepis,Actinopterygii,7.5
Ptereleotris monoptera,Actinopterygii,7.5
Pterocaesio trilineata,Actinopterygii,7.5
Pterynotus triformis,Gastropoda,7.5
Salarias ceramensis,Actinopterygii,7.5
Salarias fasciatus,Actinopterygii,7.5
Salarias guttatus,Actinopterygii,7.5
Sassia parkinsonia,Gastropoda,7.5
Sepioloidea lineolata,Cephalopoda,7.5
Siphamia cephalotes,Actinopterygii,7.5
Stichopus chloronotus,Holothuroidea,7.5
Synodus saurus,Actinopterygii,7.5
Taeniamia zosterophora,Actinopterygii,7.5
Tosia magnifica,Asteroidea,7.5
Turbo militaris,Gastropoda,7.5
Turbo undulatus,Gastropoda,7.5
Umbraculum umbraculum,Gastropoda,7.5
Acanthurus mata,Actinopterygii,5
Acanthurus pyroferus,Actinopterygii,5
Agnewia tritoniformis,Gastropoda,5
Ambassis jacksoniensis,Actinopterygii,5
Amblyeleotris steinitzi,Actinopterygii,5
Amphiprion chrysopterus,Actinopterygii,5
Amphiprion clarkii,Actinopterygii,5
Antedon loveni,Crinoidea,5
Aspasmogaster costata,Actinopterygii,5
Assessor flavissimus,Actinopterygii,5
Astralium lapillus,Gastropoda,5
Austraeolis ornata,Gastropoda,5
Bovichtus angustifrons,Actinopterygii,5
Calliostoma armillatum,Gastropoda,5
Cancellus typus,Malacostraca,5
Canthigaster bennetti,Actinopterygii,5
Ceratosoma amoenum,Gastropoda,5
Chicoreus denudatus,Gastropoda,5
Chromis amboinensis,Actinopterygii,5
Chromis chrysura,Actinopterygii,5
Chromis ternatensis,Actinopterygii,5
Chromis vanderbilti,Actinopterygii,5
Chrysiptera caesifrons,Actinopterygii,5
Chrysiptera cyanea,Actinopterygii,5
Chrysiptera flavipinnis,Actinopterygii,5
Clanculus clangulus,Gastropoda,5
Conus emaciatus,Gastropoda,5
Conus flavidus,Gastropoda,5
Conus miliaris,Gastropoda,5
Conus sponsalis,Gastropoda,5
Cronia aurantiaca,Gastropoda,5
Cryptocentrus polyophthalmus,Actinopterygii,5
Cryptocentrus strigilliceps,Actinopterygii,5
Ctenogobiops maculosus,Actinopterygii,5
Ctenogobiops mitodes,Actinopterygii,5
Cuthona sibogae,Gastropoda,5
Cypho purpurascens,Actinopterygii,5
Dendrochirus brachypterus,Actinopterygii,5
Dendrochirus zebra,Actinopterygii,5
Ecsenius mandibularis,Actinopterygii,5
Ecsenius stictus,Actinopterygii,5
Enneapterygius atrogulare,Actinopterygii,5
Enneapterygius rufopileus,Actinopterygii,5
Enneapterygius similis,Actinopterygii,5
Favonigobius lentiginosus,Actinopterygii,5
Favorinus tsuruganus,Gastropoda,5
Foetorepus calauropomus,Actinopterygii,5
Fromia indica,Asteroidea,5
Fromia milleporella,Asteroidea,5
Fromia monilis,Asteroidea,5
Fusigobius duospilus,Actinopterygii,5
Fusigobius neophytus,Actinopterygii,5
Fusigobius signipinnis,Actinopterygii,5
Glossodoris angasi,Gastropoda,5
Gnatholepis cauerensis,Actinopterygii,5
Gobiodon histrio,Actinopterygii,5
Heteroclinus whiteleggii,Actinopterygii,5
Hyastenus elatus,Malacostraca,5
Hyperlophus vittatus,Actinopterygii,5
Hypselodoris jacksoni,Gastropoda,5
Istigobius rigilius,Actinopterygii,5
Leptojulis cyanopleura,Actinopterygii,5
Macrodontogobius wilburi,Actinopterygii,5
Meridiastra calcar,Asteroidea,5
Mexichromis festiva,Gastropoda,5
Nectria macrobrachia,Asteroidea,5
Nemateleotris magnifica,Actinopterygii,5
Neoamphicyclus altoffi,Holothuroidea,5
Neopomacentrus azysron,Actinopterygii,5
Neopomacentrus cyanomos,Actinopterygii,5
Nesogobius hinsbyi,Actinopterygii,5
Nesogobius maccullochi,Actinopterygii,5
Ostorhinchus cyanosoma,Actinopterygii,5
Ostorhinchus lineomaculatus,Actinopterygii,5
Ostorhinchus nigrofasciatus,Actinopterygii,5
Ostorhinchus thermalis,Actinopterygii,5
Pentapodus aureofasciatus,Actinopterygii,5
Pentapodus emeryii,Actinopterygii,5
Phasianotrochus eximius,Gastropoda,5
Phyllidiella pustulosa,Gastropoda,5
Phyllodesmium serratum,Gastropoda,5
Pictichromis paccagnellae,Actinopterygii,5
Pomacentrus chrysurus,Actinopterygii,5
Pomacentrus magniseptus,Actinopterygii,5
Pomacentrus pavo,Actinopterygii,5
Pseudanthias rubrizonatus,Actinopterygii,5
Pteraeolidia ianthina,Gastropoda,5
Pteragogus cryptus,Actinopterygii,5
Pteragogus enneacanthus,Actinopterygii,5
Rhabdamia cypselurus,Actinopterygii,5
Salarias alboguttatus,Actinopterygii,5
Signigobius biocellatus,Actinopterygii,5
Siphamia roseigaster,Actinopterygii,5
Stanulus talboti,Actinopterygii,5
Suezichthys arquatus,Actinopterygii,5
Tectus pyramis,Gastropoda,5
Tetrosomus concatenatus,Actinopterygii,5
Thais ambustulatus,Gastropoda,5
Thalassoma quinquevittatum,Actinopterygii,5
Trinorfolkia clarkei,Actinopterygii,5
Ucla xenogrammus,Actinopterygii,5
Valenciennea parva,Actinopterygii,5
Verconia varians,Gastropoda,5
Zoramia fragilis,Actinopterygii,5
Zoramia leptacantha,Actinopterygii,5
Zoramia viridiventer,Actinopterygii,5
Aioliops novaeguineae,Actinopterygii,2.5
Apogon semiornatus,Actinopterygii,2.5
Bodianus mesothorax,Actinopterygii,2.5
Bryaninops natans,Actinopterygii,2.5
Bryaninops yongei,Actinopterygii,2.5
Bullina lineata,Gastropoda,2.5
Calcinus imperialis,Malacostraca,2.5
Calthalotia fragum,Gastropoda,2.5
Cerberilla affinis,Gastropoda,2.5
Chelidonura inornata,Gastropoda,2.5
Chromis iomelas,Actinopterygii,2.5
Cratena lineata,Gastropoda,2.5
Cuspivolva draperi,Gastropoda,2.5
Cuspivolva howlandae,Gastropoda,2.5
Cuspivolva platysia,Gastropoda,2.5
Dardanus lagopodes,Malacostraca,2.5
Diplogrammus goramensis,Actinopterygii,2.5
Echinostrephus aciculatus,Echinoidea,2.5
Eviota afelei,Actinopterygii,2.5
Eviota atriventris,Actinopterygii,2.5
Eviota bifasciata,Actinopterygii,2.5
Eviota fasciola,Actinopterygii,2.5
Eviota guttata,Actinopterygii,2.5
Eviota hoesei,Actinopterygii,2.5
Eviota melasma,Actinopterygii,2.5
Eviota prasites,Actinopterygii,2.5
Eviota readerae,Actinopterygii,2.5
Eviota sebreei,Actinopterygii,2.5
Eviota sigillata,Actinopterygii,2.5
Flabellina bicolor,Gastropoda,2.5
Helcogramma chica,Actinopterygii,2.5
Jorunna ramicola,Gastropoda,2.5
Limnichthys fasciatus,Actinopterygii,2.5
Macropharyngodon kuiteri,Actinopterygii,2.5
Morula marginalba,Gastropoda,2.5
Neopomacentrus bankieri,Actinopterygii,2.5
Oxycomanthus bennetti,Crinoidea,2.5
Parapriacanthus ransonneti,Actinopterygii,2.5
Patelloida latistrigata,Gastropoda,2.5
Petrolisthes elongatus,Malacostraca,2.5
Sagaminopteron ornatum,Gastropoda,2.5
Salmacis sphaeroides,Echinoidea,2.5
Sassia verrucosa,Gastropoda,2.5
Scarus rubroviolaceus,Actinopterygii,2.5
Thecacera pennigera,Gastropoda,2.5
Thorunna daniellae,Gastropoda,2.5
Thuridilla gracilis,Gastropoda,2.5
Trimma benjamini,Actinopterygii,2.5
Trimma lantana,Actinopterygii,2.5
