species_name,class,max_obs_length_cm
Plectorhinchus picus,Actinopterygii,35
Pomacanthus semicirculatus,Actinopterygii,35
Pomacanthus xanthometopon,Actinopterygii,35
Priacanthus hamrur,Actinopterygii,35
Sargocentron spiniferum,Actinopterygii,35
Scarus chameleon,Actinopterygii,35
Scarus flavipectoralis,Actinopterygii,35
Scarus frenatus,Actinopterygii,35
Scarus niger,Actinopterygii,35
Scarus oviceps,Actinopterygii,35
Scarus schlegeli,Actinopterygii,35
Scorpis aequipinnis,Actinopterygii,35
Scorpis lineolata,Actinopterygii,35
Siganus fuscescens,Actinopterygii,35
Siganus lineatus,Actinopterygii,35
Sphyraena flavicauda,Actinopterygii,35
Thalassoma lutescens,Actinopterygii,35
Trachurus novaezelandiae,Actinopterygii,35
Trygonoptera imitata,Elasmobranchii,35
Acanthurus nigricauda,Actinopterygii,30
Acanthurus nigrofuscus,Actinopterygii,30
Acanthurus olivaceus,Actinopterygii,30
Balistapus undulatus,Actinopterygii,30
Cabestana spengleri,Gastropoda,30
Caesio cuning,Actinopterygii,30
Carangoides fulvoguttatus,Actinopterygii,30
Carangoides orthogrammus,Actinopterygii,30
Cephalopholis miniata,Actinopterygii,30
Cheilinus fasciatus,Actinopterygii,30
Cheilinus trilobatus,Actinopterygii,30
Cheilodactylus ephippium,Actinopterygii,30
Choerodon graphicus,Actinopterygii,30
Coris sandeyeri,Actinopterygii,30
Ctenochaetus binotatus,Actinopterygii,30
Cybiosarda elegans,Actinopterygii,30
Diodon hystrix,Actinopterygii,30
Diodon nicthemerus,Actinopterygii,30
Enoplosus armatus,Actinopterygii,30
Epinephelus cyanopodus,Actinopterygii,30
Epinephelus fasciatus,Actinopterygii,30
Epinephelus maculatus,Actinopterygii,30
Eubalichthys bucephalus,Actinopterygii,30
Filicampus tigris,Actinopterygii,30
Halichoeres hortulanus,Actinopterygii,30
Heteroscarus acroptilus,Actinopterygii,30
Lethrinus nebulosus,Actinopterygii,30
Lotella rhacina,Actinopterygii,30
Lutjanus fulvus,Actinopterygii,30
Lutjanus russellii,Actinopterygii,30
Meuschenia freycineti,Actinopterygii,30
Monotaxis heterodon,Actinopterygii,30
Naso brevirostris,Actinopterygii,30
Neosebastes scorpaenoides,Actinopterygii,30
Ostracion cubicus,Actinopterygii,30
Parma oligolepis,Actinopterygii,30
Parupeneus cyclostomus,Actinopterygii,30
Pentaceropsis recurvirostris,Actinopterygii,30
Pentapodus paradiseus,Actinopterygii,30
Pictilabrus laticlavius,Actinopterygii,30
Pseudocaranx georgianus,Actinopterygii,30
Pseudolabrus guentheri,Actinopterygii,30
Pseudolabrus mortonii,Actinopterygii,30
Pseudophycis bachus,Actinopterygii,30
Scarus globiceps,Actinopterygii,30
Scarus rivulatus,Actinopterygii,30
Scobinichthys granulatus,Actinopterygii,30
Scolopsis margaritifer,Actinopterygii,30
Scolopsis monogramma,Actinopterygii,30
Scomber australasicus,Actinopterygii,30
Selenotoca multifasciata,Actinopterygii,30
Siganus doliatus,Actinopterygii,30
Siganus spinus,Actinopterygii,30
Sillago ciliata,Actinopterygii,30
Synodus variegatus,Actinopterygii,30
Actinopyga miliaris,Holothuroidea,25
Actinopyga palauensis,Holothuroidea,25
Anampses elegans,Actinopterygii,25
Aplysia argus,Gastropoda,25
Aplysia dactylomela,Gastropoda,25
Apogon limenus,Actinopterygii,25
Arctides antipodarum,Malacostraca,25
Atypichthys strigatus,Actinopterygii,25
Australostichopus mollis,Holothuroidea,25
Austrolabrus maculatus,Actinopterygii,25
Batrachomoeus dubius,Actinopterygii,25
Bohadschia argus,Holothuroidea,25
Bohadschia graeffei,Holothuroidea,25
Caesioperca rasor,Actinopterygii,25
Cephalopholis microprion,Actinopterygii,25
Chaetodon lineolatus,Actinopterygii,25
Charonia lampas,Gastropoda,25
Cheilinus chlorourus,Actinopterygii,25
Chelmonops truncatus,Actinopterygii,25
Choerodon fasciatus,Actinopterygii,25
Chromis hypsilepis,Actinopterygii,25
Chrysophrys auratus,Actinopterygii,25
Ctenochaetus striatus,Actinopterygii,25
Festucalex cinctus,Actinopterygii,25
