site_code,density,size_bin,bin_floor,bin_ceiling,bin_mid,bin_width,norm_density,lat,lon,ecoregion
BI-S1,3847.27360011859,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,74305.12082853,,,
BI-S1,1663.95861643055,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,22724.440301779,,,
BI-S1,924.890680566635,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,8931.53449894581,,,
BI-S1,1352.7954445034,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,9237.46510748009,,,
BI-S1,1171.70674324466,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,5657.50062133052,,,
BI-S1,1000.10712351642,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,3414.57930493571,,,
BI-S1,296.03872560809,0,1,1.4142135623731,1.20710678118655,0.414213562373095,714.700706350697,,,
BI-S1,184.418999143788,1,1.4142135623731,2,1.70710678118655,0.585786437626905,314.822924017996,,,
BI-S1,44.5574402331546,2,2,2.82842712474619,2.4142135623731,0.82842712474619,53.7855882577552,,,
BI-S1,6.85671831561243,3,2.82842712474619,4,3.4142135623731,1.17157287525381,5.85257516663399,,,
BI-S1,2.9309616515815,4,4,5.65685424949238,4.82842712474619,1.65685424949238,1.76899184251088,,,
BI-S1,4.9898305536,6,8,11.3137084989848,9.65685424949239,3.31370849898476,1.5058145745556,,,
BS-S8,9050.42749032749,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,174797.318339383,-39.21514893,146.9923859,Cape Howe
BS-S8,4658.27669054006,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,63617.4058165134,-39.21514893,146.9923859,Cape Howe
BS-S8,3458.41978815362,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,33397.4558277599,-39.21514893,146.9923859,Cape Howe
BS-S8,3997.16196462294,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,27294.329181235,-39.21514893,146.9923859,Cape Howe
BS-S8,2486.79403304659,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,12007.3037628192,-39.21514893,146.9923859,Cape Howe
BS-S8,2197.18358660028,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,7501.65400039422,-39.21514893,146.9923859,Cape Howe
BS-S8,778.150058071752,0,1,1.4142135623731,1.20710678118655,0.414213562373095,1878.62042375823,-39.21514893,146.9923859,Cape Howe
BS-S8,363.220823116757,1,1.4142135623731,2,1.70710678118655,0.585786437626905,620.056730210774,-39.21514893,146.9923859,Cape Howe
BS-S8,184.917072017141,2,2,2.82842712474619,2.4142135623731,0.82842712474619,223.214651589052,-39.21514893,146.9923859,Cape Howe
BS-S8,89.5659436112781,3,2.82842712474619,4,3.4142135623731,1.17157287525381,76.4493148510924,-39.21514893,146.9923859,Cape Howe
BS-S8,11.088508217284,4,4,5.65685424949238,4.82842712474619,1.65685424949238,6.69250673116314,-39.21514893,146.9923859,Cape Howe
DE4,567503.049404047,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,10960588.4684747,-42.90611,147.3447,Bassian
DE4,155755.287298724,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,2127127.25722649,-42.90611,147.3447,Bassian
DE4,48592.9641659464,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,469255.172501351,-42.90611,147.3447,Bassian
DE4,14014.878296989,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,95699.5751131761,-42.90611,147.3447,Bassian
DE4,2249.35036302028,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,10860.8243058648,-42.90611,147.3447,Bassian
DE4,1716.77321138209,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,5861.43038181954,-42.90611,147.3447,Bassian
DE4,404.407813650676,0,1,1.4142135623731,1.20710678118655,0.414213562373095,976.326828445114,-42.90611,147.3447,Bassian
DE4,150.550854602209,1,1.4142135623731,2,1.70710678118655,0.585786437626905,257.006384804861,-42.90611,147.3447,Bassian
DE4,17.2175313254766,2,2,2.82842712474619,2.4142135623731,0.82842712474619,20.7833988182746,-42.90611,147.3447,Bassian
DE4,35.6575133648471,3,2.82842712474619,4,3.4142135623731,1.17157287525381,30.4355914326902,-42.90611,147.3447,Bassian
DE4,0.00247486853326723,4,4,5.65685424949238,4.82842712474619,1.65685424949238,0.00149371529452604,-42.90611,147.3447,Bassian
DE46,33078.7570267767,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,638873.470723909,-42.861017,147.3501,Bassian
DE46,16120.7435554843,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,220158.645130693,-42.861017,147.3501,Bassian
DE46,8463.6885151124,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,81732.6064035431,-42.861017,147.3501,Bassian
DE46,4209.45903481356,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,28743.9842538288,-42.861017,147.3501,Bassian
DE46,1495.53880594109,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,7221.10013671647,-42.861017,147.3501,Bassian
DE46,1536.10733093007,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,5244.59848252218,-42.861017,147.3501,Bassian
DE46,541.923952730734,0,1,1.4142135623731,1.20710678118655,0.414213562373095,1308.32015645737,-42.861017,147.3501,Bassian
DE46,374.03589297006,1,1.4142135623731,2,1.70710678118655,0.585786437626905,638.519209296355,-42.861017,147.3501,Bassian
DE46,164.856233167167,2,2,2.82842712474619,2.4142135623731,0.82842712474619,198.999076976958,-42.861017,147.3501,Bassian
