ecoregion,site_code,bin_mid,norm_density,lat,lon
Cape Howe,JBMP6,54.6274169979696,0.109681610691236,-35.13676,150.76428
Cape Howe,KG-S13,54.6274169979696,0.0259000106958146,-39.44477844,147.3012238
Cape Howe,KG-S15,54.6274169979696,0.00780201146089163,-39.49295044,147.3421478
Cape Howe,KG-S4,54.6274169979696,0.0168843530076732,-39.46456909,147.2946625
Bassian,NIN-S1,54.6274169979696,0.0579882834734305,-43.27292,147.14343
Bassian,NIN-S2,54.6274169979696,0.0718851996140272,-43.29383,147.14182
Cape Howe,NSW47,54.6274169979696,0.0145104076400856,-37.10968,149.92238
Cape Howe,NSW5,54.6274169979696,0.0311280252131984,-37.10036,149.9285
Manning-Hawkesbury,PS13,54.6274169979696,0.0209710803784592,-32.71802,152.14133
Manning-Hawkesbury,PS17,54.6274169979696,0.0219184436550658,-32.714463,152.15183
Torres Strait Northern Great Barrier Reef,QLD43,54.6274169979696,0.146891203812411,-14.69473,145.45921
Torres Strait Northern Great Barrier Reef,QLD44,54.6274169979696,0.085817680479232,-14.68942,145.46617
Torres Strait Northern Great Barrier Reef,QLD48,54.6274169979696,0.66107710101449,-14.68689,145.44195
Torres Strait Northern Great Barrier Reef,QLD51,54.6274169979696,0.0466609186857656,-14.65706,145.45076
Tweed-Moreton,SI21,54.6274169979696,0.152311860588088,-30.00751,153.27028
Tweed-Moreton,SI29,54.6274169979696,0.0362760191002141,-29.98321,153.2278
Tweed-Moreton,SI6,54.6274169979696,0.0833960460491018,-30.01765,153.2692
Manning-Hawkesbury,SYD1,54.6274169979696,0.00240061891104358,-33.85186,151.21997
Manning-Hawkesbury,SYD3,54.6274169979696,0.0401170093578838,-33.86328,151.24196
Manning-Hawkesbury,SYD30,54.6274169979696,0.0629895728714379,-33.841655,151.253968
Manning-Hawkesbury,SYD31,54.6274169979696,0.0870505909323111,-33.840111,151.277492
Manning-Hawkesbury,SYD37,54.6274169979696,0.0829013730613716,-33.83036,151.26378
Manning-Hawkesbury,SYD6,54.6274169979696,0.0336442294792182,-33.85595,151.26602
Manning-Hawkesbury,SYD9,54.6274169979696,0.0177645799417225,-33.852053,151.263956
Bassian,TAS26,54.6274169979696,0.00256066017177982,-43.14242,147.29123
Bassian,TAS43,54.6274169979696,0.0177645799417225,-43.08944,147.30101
Bassian,TAS84,54.6274169979696,0.0160041260736239,-41.87563,148.31159
Bassian,TAS88,54.6274169979696,0.000889118115201326,-41.87094,148.31732
Cape Howe,BS-S8,77.2548339959391,0.00204642321498032,-39.21514893,146.9923859
Bassian,DE4,77.2548339959391,0.0115806806820084,-42.90611,147.3447
Bassian,DE46,77.2548339959391,0.0167486065889633,-42.861017,147.3501
Bassian,DE7,77.2548339959391,0.000301776695296637,-43.01334,147.33089
Lord Howe and Norfolk Islands,EMR1,77.2548339959391,0.0408341590823262,-29.45103,159.06227
Lord Howe and Norfolk Islands,EMR18,77.2548339959391,0.0290837290092134,-29.92554,159.0511
Lord Howe and Norfolk Islands,EMR2,77.2548339959391,0.0223503364954072,-29.45683,159.0622
Lord Howe and Norfolk Islands,EMR20,77.2548339959391,0.00718605755675116,-29.93192,159.06155
Lord Howe and Norfolk Islands,EMR25,77.2548339959391,0.0476052736830444,-29.91181,159.08131
Lord Howe and Norfolk Islands,EMR37,77.2548339959391,0.0272730688374335,-29.48267,159.06495
Lord Howe and Norfolk Islands,EMR42,77.2548339959391,0.00392309703885628,-29.94249,159.0847
Lord Howe and Norfolk Islands,EMR5,77.2548339959391,0.0151454178952,-29.44269,159.06088
Lord Howe and Norfolk Islands,EMR8,77.2548339959391,0.0156735271119691,-29.44563,159.09369
Central and Southern Great Barrier Reef,GBR24,77.2548339959391,0.0285556197924442,-19.81261,149.13292
Central and Southern Great Barrier Reef,GBR27,77.2548339959391,0.0984546468405277,-19.79517,149.07878
Central and Southern Great Barrier Reef,GBR76,77.2548339959391,0.00873266312014642,-19.80832,149.06582
Cape Howe,JBMP25,77.2548339959391,0.040287188822101,-35.06756,150.68239
Cape Howe,JBMP6,77.2548339959391,0.0510191225485876,-35.13676,150.76428
Cape Howe,KG-S13,77.2548339959391,0.00996806146651703,-39.44477844,147.3012238
Cape Howe,KG-S15,77.2548339959391,0.00570546564545204,-39.49295044,147.3421478
Cape Howe,KG-S4,77.2548339959391,0.00629958851431729,-39.46456909,147.2946625
Bassian,NIN-S1,77.2548339959391,0.0187290161518475,-43.27292,147.14343
Bassian,NIN-S2,77.2548339959391,0.0179368523266938,-43.29383,147.14182
Cape Howe,NSW47,77.2548339959391,0.0051679259069549,-37.10968,149.92238
Cape Howe,NSW5,77.2548339959391,0.00826113703374543,-37.10036,149.9285
Manning-Hawkesbury,PS13,77.2548339959391,0.0132011252240401,-32.71802,152.14133
